Group,Item,Extraction,Comp,Verb,PrThat,Sentence
B,46,Embedded,That,hope,0.354907898,Who did the actress hope that the director nominated?
C,46,Embedded,Null,hope,0.354907898,Who did the actress hope the director nominated?
C,47,Matrix,That,guess,0.302528335,Who guessed that the boy rescued the firefighter?
D,47,Matrix,Null,guess,0.302528335,Who guessed the boy rescued the firefighter?
A,47,Embedded,That,guess,0.302528335,Who did the firefighter guess that the boy rescued?
B,47,Embedded,Null,guess,0.302528335,Who did the firefighter guess the boy rescued?
B,48,Matrix,That,argue,0.946193644,Who argued that the plaintiff hired the lawyer?
C,48,Matrix,Null,argue,0.946193644,Who argued the plaintiff hired the lawyer?
D,48,Embedded,That,argue,0.946193644,Who did the lawyer argue that the plaintiff hired?
A,48,Embedded,Null,argue,0.946193644,Who did the lawyer argue the plaintiff hired?
A,49,Matrix,That,argue,0.946193644,Who argued that the defendant bribed the judge?
B,49,Matrix,Null,argue,0.946193644,Who argued the defendant bribed the judge?
C,49,Embedded,That,argue,0.946193644,Who did the judge argue that the defendant bribed?
D,49,Embedded,Null,argue,0.946193644,Who did the judge argue the defendant bribed?
D,50,Matrix,That,guess,0.302528335,Who guessed that the bird attacked the bird?
A,50,Matrix,Null,guess,0.302528335,Who guessed the bird attacked the bird?
B,50,Embedded,That,guess,0.302528335,Who did the bird watcher guess that the bird attacked?
C,50,Embedded,Null,guess,0.302528335,Who did the bird watcher guess the bird attacked?
C,51,Matrix,That,claim,0.641977578,Who claimed that the astronaut respects the engineer?
D,51,Matrix,Null,claim,0.641977578,Who claimed the astronaut respects the engineer?
A,51,Embedded,That,claim,0.641977578,Who did the engineer claim that the astronaut respects?
B,51,Embedded,Null,claim,0.641977578,Who did the engineer claim the astronaut respects?
B,52,Matrix,That,assume,0.725245553,Who assumed that the passenger helped the bus?
C,52,Matrix,Null,assume,0.725245553,Who assumed the passenger helped the bus?
D,52,Embedded,That,assume,0.725245553,Who did the bus driver assume that the passenger helped?
A,52,Embedded,Null,assume,0.725245553,Who did the bus driver assume the passenger helped?
A,53,Matrix,That,hint,0.79245283,Who hinted that the nun loves the monk?
B,53,Matrix,Null,hint,0.79245283,Who hinted the nun loves the monk?
C,53,Embedded,That,hint,0.79245283,Who did the monk hint that the nun loves?
D,53,Embedded,Null,hint,0.79245283,Who did the monk hint the nun loves?
D,54,Matrix,That,suppose,0.124867725,Who supposed that the florist married the baker?
A,54,Matrix,Null,suppose,0.124867725,Who supposed the florist married the baker?
B,54,Embedded,That,suppose,0.124867725,Who did the baker suppose that the florist married?
C,54,Embedded,Null,suppose,0.124867725,Who did the baker suppose the florist married?
C,55,Matrix,That,think,0.141785968,Who thought that the patient loved the doctor?
D,55,Matrix,Null,think,0.141785968,Who thought the patient loved the doctor?
A,55,Embedded,That,think,0.141785968,Who did the doctor think that the patient loved?
B,55,Embedded,Null,think,0.141785968,Who did the doctor think the patient loved?
B,56,Matrix,That,insist,0.729651163,Who insisted that the salesperson called the customer?
C,56,Matrix,Null,insist,0.729651163,Who insisted the salesperson called the customer?
D,56,Embedded,That,insist,0.729651163,Who did the customer insist that the salesperson called?
A,56,Embedded,Null,insist,0.729651163,Who did the customer insist the salesperson called?
